song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,Cluster
Raat Kali Ek Khwaab Mein Aayi,Kishore Kumar,/artist/kishore-kumar,05:00,Hindi,04-11-2014,0.7,0.016,0.72,0.562,-3.518,0.08,199.634,0.0,6.0,0.07,4.0,42.0,2650160.0,3
Bole Re Papihara,Vani Jairam,/artist/vani-jayaram,03:34,Hindi,01-08-2021,0.78,0.38,0.87,0.3,-9.543,0.03,105.756,1.0,7.0,0.049,4.0,62.0,110282.0,2
Pallu Latke,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,04:26,Hindi,03-02-2004,0.81,0.9,0.13,0.426,-7.714,0.048,184.126,0.0,11.0,0.0875,4.0,47.0,8853133.0,0
Tere Chehre Mein Woh Jadoo Hai,Kishore Kumar,/artist/kishore-kumar,04:11,Hindi,10-04-2014,0.71,0.27,0.442,0.002,-3.031,0.02,127.996,1.0,8.0,0.03,4.0,83.0,9113225.0,2
Mamiya Kairo Mama,Shailendra Singh,/artist/shailendra-singh,07:01,Hindi,02-06-2015,0.25,0.27,0.762,0.818,-9.867,0.095,185.212,0.0,1.0,0.051,4.0,95.0,7223613.0,3
Maine Kaha Phoolon Se,Lata Mangeshkar,/artist/lata-mangeshkar,05:02,Hindi,04-01-2009,0.3,0.19,0.586,0.715,-9.959,0.091,140.284,1.0,8.0,0.0358,4.0,81.0,2521686.0,1
Har Kisiko Nahin Milta Yahan Pyar,Manhar Udhas,/artist/manhar-udhas,05:06,Hindi,10-01-2004,0.31,0.331,0.925,0.78,-8.391,0.04,202.206,1.0,7.0,0.0419,4.0,69.0,9823912.0,4
Kisko Qatil Main Kahoon,Jagjit Singh,/artist/jagjeet-singh-1,07:01,Hindi,07-05-2007,0.13,0.22,0.525,0.278,-12.772,0.017,172.329,0.0,10.0,0.006,4.0,55.0,9127856.0,4
Jab Hum Jawan Honge,Lata Mangeshkar|Shabbir Kumar,/artist/lata-mangeshkar|/artist/shabbir-kumar,07:09,Hindi,08-03-2011,0.61,0.859,0.695,0.216,-10.146,0.04,199.936,0.0,9.0,0.013,4.0,39.0,9423232.0,0
Ae Mere Zohra Jabeen,Manna Dey,/artist/manna-dey,03:55,Hindi,03-03-2011,0.95,0.012,0.791,0.928,-6.492,0.0726,108.033,1.0,6.0,0.042,4.0,97.0,4556667.0,2
Humko Tumse Ho Gaya Hai Pyar,Kishore Kumar|Lata Mangeshkar|Mohammed Rafi|Mukesh,/artist/kishore-kumar|/artist/lata-mangeshkar|/artist/mohammad-rafi|/artist/mukesh,07:33,Hindi,09-02-2022,0.75,0.74,0.009,0.655,-4.432,0.008,163.983,1.0,7.0,0.047,4.0,97.0,4937954.0,0
Abke Na Sawan Barse,Lata Mangeshkar,/artist/lata-mangeshkar,04:29,Hindi,11-04-2020,0.08,0.59,0.272,0.78,-11.544,0.099,177.894,0.0,11.0,0.0,4.0,54.0,6284096.0,1
Guzre Hain Aaj Ishq Mein Ham,Mohammed Rafi,/artist/mohammad-rafi,03:51,Hindi,07-12-2009,0.07,0.78,0.607,0.154,-3.006,0.028,120.014,0.0,4.0,0.08,4.0,26.0,10142789.0,1
Sun Sun Sun Didi,Asha Bhosle,/artist/asha-bhosle-1,03:42,Hindi,11-06-2020,0.94,0.735,0.506,0.561,-13.06,0.07,112.568,1.0,1.0,0.09,4.0,88.0,6225297.0,2
Kabhi Kabhi Mere Dil Mein (Solo),Mukesh,/artist/mukesh,04:45,Hindi,06-10-2005,0.07,0.247,0.657,0.836,-12.183,0.08,116.044,1.0,7.0,0.039,4.0,57.0,5750162.0,1
Tumse Milkar Na Jane,Lata Mangeshkar|Shabbir Kumar,/artist/lata-mangeshkar|/artist/shabbir-kumar,06:53,Hindi,01-12-2005,0.15,0.83,0.152,0.406,-2.118,0.0293,202.036,1.0,7.0,0.013,4.0,41.0,8377399.0,0
